AssetID,ItemName,BrandModel,Category,RegisteredLocation,Status,AuditedBy,AuditDate,Notes,FoundLocation
MUIDS-SCI-204-001,Olympus CX23 Binocular Microscope,Olympus CX23-LEDRFS2,Optics,Lab 204,Good,nattapat.poo@mahidol.ac.th,2026-09-07 09:15:00,Lenses clear stage smooth,
MUIDS-SCI-204-002,Olympus CX23 Binocular Microscope,Olympus CX23-LEDRFS2,Optics,Lab 204,Unverified,,,,
MUIDS-SCI-204-003,Mettler Toledo Precision Balance,ME204T / 0.1mg,Measurement,Lab 204,Good,nattapat.poo@mahidol.ac.th,2026-09-07 09:22:15,Calibrated,
MUIDS-SCI-204-004,Corning Hotplate Stirrer,PC-420D Digital,Thermal,Lab 204,Damaged,nattapat.poo@mahidol.ac.th,2026-09-07 09:30:10,Heating plate surface chipped,
MUIDS-SCI-204-005,Vernier LabQuest 3 Interface,LQ3-BT Touch,Data Logging,Lab 204,Unverified,,,,
MUIDS-SCI-204-006,Fisherbrand Vortex Mixer,Analog Vortex 120V,Mixing,Lab 204,Unverified,,,,
MUIDS-CHM-301-010,Thermo Scientific UV-Vis Spectrophotometer,GENESYS 50,Analytical,Lab 301,Good,mai@mahidol.ac.th,2026-09-06 14:10:00,Lamp tested OK,
MUIDS-CHM-301-011,IKA Magnetic Stirrer,C-MAG HS 7,Thermal,Lab 301,Unverified,,,,
MUIDS-CHM-301-012,Ohaus Pioneer Analytical Balance,PX224 / 220g x 0.1mg,Measurement,Lab 301,Unverified,,,,
MUIDS-CHM-301-013,Labconco Fume Hood Monitor,Protector Echo 4ft,Safety,Lab 301,Good,fern@mahidol.ac.th,2026-09-06 15:45:00,Airflow verified 100 fpm,
MUIDS-CHM-301-014,Eppendorf Research Plus Pipette Set,3-Pack (10-100-1000uL),Liquid Handling,Lab 301,Missing,fern@mahidol.ac.th,2026-09-06 16:00:20,Missing 10uL pipette from carousel,
MUIDS-BIO-308-020,Eppendorf Centrifuge 5425,24-place FA-24x2,Centrifugation,Lab 308,Good,kris@mahidol.ac.th,2026-09-07 10:12:00,Rotor inspected,
MUIDS-BIO-308-021,Bio-Rad Gel Doc EZ System,EZ Imaging Darkroom,Imaging,Lab 308,Unverified,,,,
MUIDS-BIO-308-022,Bio-Rad T100 Thermal Cycler,96-Well PCR,Molecular,Lab 308,Unverified,,,,
MUIDS-BIO-308-023,Benchmark Autoclave 16L,BioClave 16 B4000-16,Sterilization,Lab 308,Good,kris@mahidol.ac.th,2026-09-07 11:00:00,Passed seal test,
MUIDS-PHY-314-030,Pasco Capstone Universal Interface,UI-5000 USB/BT,Data Logging,Physics Lab 314,Unverified,,,,
MUIDS-PHY-314-031,Rigol Digital Oscilloscope,DS1054Z 50MHz 4CH,Electronics,Physics Lab 314,Good,nattapat.poo@mahidol.ac.th,2026-09-05 13:00:00,Channels tested,
MUIDS-PHY-314-032,Pasco Air Track & Photogate Kit,2.0m Precision Track,Mechanics,Physics Lab 314,Unverified,,,,
